,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Hawaii
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,New Hampshire
20,New Jersey
21,New Mexico
22,North Carolina
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,Tennessee
28,Vermont
29,Virginia
30,West Virginia
31,Wisconsin
